PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ID
11 330588,0,New Building,Multiple Use/Non Residential,2011-12-23T00:00:00Z,2014-12-11T00:00:00Z,2017-04-25T00:00:00Z,Closed,M5A,3290,11 330588_0
11 330642,0,New Building,Apartment Building,2011-12-23T00:00:00Z,2014-03-11T00:00:00Z,2017-05-18T00:00:00Z,Closed,M5A,504,11 330642_0
11 330653,0,New Building,Mixed Use/Res w Non Res,2011-12-23T00:00:00Z,2014-03-11T00:00:00Z,2017-05-19T00:00:00Z,Closed,M5A,540,11 330653_0
11 331342,0,New Building,Elementary School,2011-12-28T00:00:00Z,2012-03-19T00:00:00Z,2013-10-11T00:00:00Z,Closed,M1C,379.2,11 331342_0
11 331561,0,New Building,Mixed Use/Res w Non Res,2011-12-29T00:00:00Z,2014-08-26T00:00:00Z,2025-02-27T00:00:00Z,Closed,M5V,397.5,11 331561_0
11 331561,1,New Building,Mixed Use/Res w Non Res,2015-04-02T00:00:00Z,2016-05-20T00:00:00Z,2025-02-27T00:00:00Z,Closed,M5V,303.5,11 331561_1
12 105190,0,New Building,Mixed Use/Res w Non Res,2012-01-12T00:00:00Z,2014-07-28T00:00:00Z,NA,Inspection,M5V,36.5,12 105190_0
12 106788,0,New Building,Club,2012-01-16T00:00:00Z,2012-06-05T00:00:00Z,2015-03-09T00:00:00Z,Closed,M4N,184.9,12 106788_0
12 107739,0,New Building,Mixed Use/Res w Non Res,2012-01-18T00:00:00Z,2014-06-11T00:00:00Z,NA,Inspection,M9N,388.54,12 107739_0
12 109059,0,New Building,Library,2012-01-20T00:00:00Z,2012-08-30T00:00:00Z,NA,Inspection,NA,408.5,12 109059_0
12 109230,0,New Building,Multiple Use/Non Residential,2012-01-20T00:00:00Z,2012-07-30T00:00:00Z,2013-04-25T00:00:00Z,Closed,NA,243,12 109230_0
12 109234,0,New Building,Apartment Building,2012-01-20T00:00:00Z,2013-09-17T00:00:00Z,2015-01-22T00:00:00Z,Closed,M8W,397,12 109234_0
12 113376,0,Building Additions/Alterations,Apartment Building,2012-01-27T00:00:00Z,2012-12-18T00:00:00Z,NA,Inspection,M5A,227.29,12 113376_0
12 114933,0,New Building,Mixed Use/Res w Non Res,2012-01-31T00:00:00Z,2013-11-26T00:00:00Z,2019-01-23T00:00:00Z,Closed,NA,1827.57,12 114933_0
12 117088,0,New Building,Mixed Use/Res w Non Res,2012-02-03T00:00:00Z,2013-07-17T00:00:00Z,NA,Inspection,M6K,2014,12 117088_0
12 119084,0,New Building,Apartment Building,2012-02-08T00:00:00Z,2016-04-01T00:00:00Z,2020-11-04T00:00:00Z,Closed,M4N,342,12 119084_0
12 124662,0,New Building,Apartment Building,2012-02-17T00:00:00Z,2015-06-08T00:00:00Z,2017-08-11T00:00:00Z,Closed,M5A,252,12 124662_0
12 124719,0,New Building,Retail Store,2012-02-17T00:00:00Z,2014-05-22T00:00:00Z,NA,Inspection,NA,1317,12 124719_0
