PERMIT_NUM,REVISION_NUM,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ECO_ROOF,ID,CFSAUID,G_AREA
11 276573,0,Mixed Use/Res w Non Res,2011-09-16T00:00:00Z,2013-05-31T00:00:00Z,NA,Inspection,NA,593.93,FALSE,11 276573_0,NA,593.93
11 279729,0,Hospital,2011-09-22T00:00:00Z,2013-03-05T00:00:00Z,NA,Inspection,M5S,1060.6,FALSE,11 279729_0,M5S,1060.6
11 279925,0,Elementary School,2011-09-22T00:00:00Z,2012-07-31T00:00:00Z,2015-02-20T00:00:00Z,Closed,NA,700,TRUE,11 279925_0,NA,700
11 280530,0,Apartment Building,2011-09-23T00:00:00Z,2013-11-29T00:00:00Z,NA,Inspection,M2J,952,FALSE,11 280530_0,M2J,952
11 284988,0,Multiple Use/Non Residential,2011-09-30T00:00:00Z,2013-07-26T00:00:00Z,2017-02-28T00:00:00Z,Closed,NA,4363,FALSE,11 284988_0,NA,4363
11 287084,0,Mixed Use/Res w Non Res,2011-10-04T00:00:00Z,2013-09-04T00:00:00Z,2015-11-13T00:00:00Z,Closed,M5V,63.01,FALSE,11 287084_0,M5V,63.01
11 287641,0,Apartment Building,2011-10-05T00:00:00Z,2014-03-20T00:00:00Z,NA,Inspection,M8V,2086,FALSE,11 287641_0,M8V,2086
11 288197,0,Elementary School,2011-10-06T00:00:00Z,2012-07-31T00:00:00Z,NA,Inspection,M9V,NA,FALSE,11 288197_0,M9V,NA
11 288242,0,Apartment Building,2011-10-06T00:00:00Z,2013-05-21T00:00:00Z,NA,Inspection,M5V,175.9,FALSE,11 288242_0,M5V,175.9
11 293926,0,Apartment Building,2011-10-17T00:00:00Z,2013-01-21T00:00:00Z,2016-04-19T00:00:00Z,Closed,NA,248,FALSE,11 293926_0,NA,248
11 294699,0,Apartment Building,2011-10-18T00:00:00Z,2013-01-22T00:00:00Z,2017-03-08T00:00:00Z,Closed,M5A,300,FALSE,11 294699_0,M5A,300
11 295644,0,Apartment Building,2011-10-19T00:00:00Z,2014-11-13T00:00:00Z,NA,Inspection,M8V,1087,FALSE,11 295644_0,M8V,1087
11 299749,0,Mixed Use/Res w Non Res,2011-10-26T00:00:00Z,2015-02-25T00:00:00Z,NA,Inspection,M5A,181.26999999999998,FALSE,11 299749_0,M5A,181.26999999999998
11 309981,0,University,2011-11-15T00:00:00Z,2012-10-31T00:00:00Z,2015-07-27T00:00:00Z,Closed,M5B,889.5,FALSE,11 309981_0,M5B,889.5
11 310205,0,Multiple Use/Non Residential,2011-11-15T00:00:00Z,2012-07-17T00:00:00Z,2014-03-25T00:00:00Z,Closed,M1L,240.52,FALSE,11 310205_0,M1L,240.52
11 311255,0,Mixed Use/Res w Non Res,2011-11-17T00:00:00Z,2015-11-10T00:00:00Z,NA,Inspection,M5V,1225.3,FALSE,11 311255_0,M5V,1225.3
11 311907,0,Apartment Building,2011-11-18T00:00:00Z,2014-05-09T00:00:00Z,NA,Inspection,M2J,489,FALSE,11 311907_0,M2J,489
11 312272,0,Elementary School,2011-11-18T00:00:00Z,2012-06-18T00:00:00Z,2018-07-10T00:00:00Z,Closed,M1E,1197,FALSE,11 312272_0,M1E,1197
11 312940,0,Apartment Building,2011-11-21T00:00:00Z,2012-11-13T00:00:00Z,NA,Inspection,M6J,356,FALSE,11 312940_0,M6J,356
11 319306,0,Apartment Building,2011-12-01T00:00:00Z,2013-10-22T00:00:00Z,NA,Inspection,M5R,380,FALSE,11 319306_0,M5R,380
11 319757,0,Mixed Use/Res w Non Res,2011-12-02T00:00:00Z,2014-03-19T00:00:00Z,2020-11-10T00:00:00Z,Closed,M5P,429.78,FALSE,11 319757_0,M5P,429.78
11 320212,0,Retail Store,2011-12-02T00:00:00Z,2012-06-14T00:00:00Z,2014-01-21T00:00:00Z,Closed,M9P,0,FALSE,11 320212_0,M9P,0
11 322222,0,Apartment Building,2011-12-07T00:00:00Z,2016-01-19T00:00:00Z,NA,Inspection,M5R,82,FALSE,11 322222_0,M5R,82
11 324279,0,Elementary School,2011-12-12T00:00:00Z,2012-10-16T00:00:00Z,2013-11-27T00:00:00Z,Closed,M2N,0,FALSE,11 324279_0,M2N,0
11 325405,0,Mixed Use/Res w Non Res,2011-12-13T00:00:00Z,2015-04-22T00:00:00Z,NA,Inspection,NA,693,FALSE,11 325405_0,NA,693
11 327014,0,Apartment Building,2011-12-16T00:00:00Z,2012-12-12T00:00:00Z,NA,Inspection,M6H,497,FALSE,11 327014_0,M6H,497
11 327064,0,Apartment Building,2011-12-16T00:00:00Z,2013-10-23T00:00:00Z,NA,Inspection,NA,607.69,FALSE,11 327064_0,NA,607.69
11 327297,0,Apartment Building,2011-12-16T00:00:00Z,2014-02-14T00:00:00Z,2020-09-29T00:00:00Z,Closed,M5P,445,FALSE,11 327297_0,M5P,445
11 327513,0,Apartment Building,2011-12-16T00:00:00Z,2013-10-25T00:00:00Z,NA,Inspection,M8V,220,FALSE,11 327513_0,M8V,220
11 329274,0,Multiple Use/Non Residential,2011-12-21T00:00:00Z,2013-01-29T00:00:00Z,NA,Inspection,M4P,257.58,FALSE,11 329274_0,M4P,257.58
11 329361,0,Mixed Use/Res w Non Res,2011-12-21T00:00:00Z,2013-12-23T00:00:00Z,NA,Inspection,M5S,508.38,FALSE,11 329361_0,M5S,508.38
11 329842,0,Other,2011-12-22T00:00:00Z,2014-06-27T00:00:00Z,NA,Inspection,NA,1269.24,FALSE,11 329842_0,NA,1269.24
11 330105,0,Mixed Use/Res w Non Res,2011-12-22T00:00:00Z,2014-01-09T00:00:00Z,NA,Inspection,M6K,277.32,FALSE,11 330105_0,M6K,277.32
11 330479,0,Mixed Use/Res w Non Res,2011-12-23T00:00:00Z,2014-06-04T00:00:00Z,2017-09-05T00:00:00Z,Closed,M8Z,349,FALSE,11 330479_0,M8Z,349
11 330588,0,Multiple Use/Non Residential,2011-12-23T00:00:00Z,2014-12-11T00:00:00Z,2017-04-25T00:00:00Z,Closed,M5A,3290,FALSE,11 330588_0,M5A,3290
11 330642,0,Apartment Building,2011-12-23T00:00:00Z,2014-03-11T00:00:00Z,2017-05-18T00:00:00Z,Closed,M5A,504,FALSE,11 330642_0,M5A,504
11 330653,0,Mixed Use/Res w Non Res,2011-12-23T00:00:00Z,2014-03-11T00:00:00Z,2017-05-19T00:00:00Z,Closed,M5A,540,FALSE,11 330653_0,M5A,540
11 331342,0,Elementary School,2011-12-28T00:00:00Z,2012-03-19T00:00:00Z,2013-10-11T00:00:00Z,Closed,M1C,379.2,FALSE,11 331342_0,M1C,379.2
11 331561,0,Mixed Use/Res w Non Res,2011-12-29T00:00:00Z,2014-08-26T00:00:00Z,2025-02-27T00:00:00Z,Closed,M5V,397.5,FALSE,11 331561_0,M5V,397.5
