X_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA,ECO_ROOF
195,13 203373,0,New Building,Retail Mall/Plaza,11,WILLIAM KITCHEN,RD, ,M1P,2013-07-12,2014-01-08,2015-03-12,Closed,"construct new retail plaza shell only ""J 4,5,6,7""",0,1974.3,False
196,13 206962,0,New Building,Mixed Use/Res w Non Res,103,BATHURST,ST, ,   ,2013-07-19,2015-01-07,2017-01-19,Closed,"Proposal for a new 17 storey mixed use building, comprised of 225 residential units, 1,398 metre square of office uses and 945 metre square of retail space. Included in the proposal are 194 parking spaces to serve the project located in a below grade parking facility, (see also admin permit 13 265501 BA - 525 Adelaide St W)",55.60,0,False
197,13 214460,0,New Building,Apartment Building,9,VALHALLA INN,RD, ,   ,2013-08-01,2015-07-30,,Inspection,"Construct new (29) storey hi-rise, 278 units and (2) levels underground garage Bldg C Phase 3.
June01/15 Revised drawings submitted with proposed increase of number of Appartment Units from 278 to 298.",498,0,False
198,13 214855,0,Building Additions/Alterations,Multiple Unit Building,480,UNIVERSITY,AVE, ,M5G,2013-08-01,2015-04-09,2022-06-28,Closed,"Proposal to construct a 37 sty + mechanical penhouse residential addition with 453 residential units on existing 18 sty commercial building, 3 additional below grade parking levels under 2 existing parking levels, 2 sty + atrium side addition (East side), interior alterations throughout, and replace facade on existing building.",0,538.76,False
199,13 215227,0,New Building,Mixed Use/Res w Non Res,856,DUNDAS,ST,W,M6J,2013-08-02,2014-05-07,,Inspection,"Proposal to construct a 8 sty condo with commercial at grade, 2 levels of undground parking, and 78 residential units.",325,NA,False
200,13 227528,0,New Building,Apartment Building,255,VILLAGE GREEN,SQ, ,   ,2013-08-28,2016-12-28,,Inspection,"Construct 35 storey residential tower 363 units, 3 level parking garage - Tower A",1511,NA,False
201,13 228385,0,New Building,Apartment Building,68,MERTON,ST, ,M4S,2013-08-29,2015-07-24,,Inspection,"To construct a 14-storey plus mechanical penthouse apartment building containing 156 suites, underground parking including a commercial parking garage
235931.44 x 0.60 =141558.86",194.7,0,False
202,13 229440,0,New Building,Mixed Use/Res w Non Res,2281,YONGE,ST, ,M4P,2013-09-03,2019-05-09,,Inspection,Proposal to construct a new mixed use building comprised of two residential towers 58 storeys and 34 storeys in height connected by 3 levels of below grade parking.  Proposal will contain 1089 dwelling units (1024 condo + 65 rental replacement units). See related 13-148633 SA.,508.22,977.31,False
203,13 231262,0,New Building,Retail Store,784,SHEPPARD,AVE,E,M2K,2013-09-05,2016-08-23,2025-07-24,Closed,Two storey retail building with two levels of underground parking - Mountain Equipment Co-op,127,267,False
204,13 237742,0,New Building,Mixed Use/Res w Non Res,197,YONGE,ST, ,M5B,2013-09-18,2019-02-05,,Inspection,"Proposal to construct a new 60 storey mixed use building (plus a mechanical penthouse and an elevator mechanical room), comprising of 694 dwelling units to the rear of the heritage building.  A proposed podium is 9-storey's containing the lobby to be located within the heritage building, above grade parking (floors 3 to 8), amenity uses (floors 9 and 10) and retail uses at grade and level 2 in the area currently used as private open space adjacent the heritage building on the north side.  There are 131 above grade parking spaces proposed.  One below grade level is proposed to include mechanical and service areas and bicycle parking. The application proposes to retain the front portion of the existing heritage building (Bank Building) on the premises.",606.748,0,False
